,names,gender
5542,satnam singh,male
7630,sh santosh ,male
618,pushkar,male
10855,km shakshi,female
10887,smt sunita devi,female
2176,mohd ali ,male
14032,saraswati,female
8330,gajendra singh ,male
11458,ganga ram,female
6116,parshotam ram,male
6751,mnyak sharma / monu,male
972,vidit kumar,male
10561,bagdai,female
4539,jay noor,male
1347,angda prasad mishra,male
1292,ramniwas,male
12530,phol bano,female
10217,smt.meera devi,female
11600,ruby  farveen,female
11132,zeba parveen,female
12609,indara kawar,female
15257,manju bohra,female
12285,klu kumari rokaya,female
8665,janki ,female
6902,kalwant singh,male
2963,mustkeem ali,male
2414,haseem,male
1625,mahadev,male
7966,jagat narayan,male
8876,smt parkashi,female
4477,sukul ,male
5469,parveen ,male
6563,mohd. arif,male
1480,chand mohhamad,male
4957,kuldeep singh,male
2723,vinod ahuja,male
4180,anil kumar yadav,male
520,chander bhan yadav,male
14900,ranjita devi,female
3241,vijay  kumar,male
9033,chameli devi,female
7768,mohd. mukhtaar,male
7653,sakir,male
6148,manohar,male
2419,anjeev kumar jain,male
2735,kundan singh  singh,male
13200,aarti pal,female
10976,smt. brajesh ,female
9934,km. guddi,female
10422,umma kumari,female
8079,shri kishansingh,male
5354,jasvinder singh,male
10182,heena khatun,female
6096,sanjay ram,male
4471,छोगालाल,male
1732,sardar sarbjeet singh,male
1240,kamal,male
865,arvind kumar,male
1418,aakas,male
7987,mr. shaitan,male
14750,saveena,female
1527,md. raju,male
5377,praveen kumar ,male
1158,pawan rana,male
3515,aanil yadav,male
12442,kumari shilpa,female
2268,mohd salahuddin,male
507,madhusudan prasad,male
8490,prashant lakhera,male
13028,tamanna banu,female
2519,vikash mirdha,male
5068,md. tavrej,male
10152,nootan,female
1902,tulsi sharma,male
9701,sirjna ,female
3737,atul dixit,male
8902,smt dimpal gayri,female
12716,kumari reetu,female
14569,lovely,female
4809,bablu jagdish,male
1457,dharmender kumar sharma,male
6865,aayush kashyap,male
12374,gaytri devi,female
12222,irsad khan,female
10865,aasha kanwar,female
11953,miss santosh,female
2060,ramdutt,male
5298,ajay ,male
14618,smt vimla devi,female
6950,omender,male
7366,yogendr,male
3170,bintu,male
14117,heera lal  kanojia,female
11809,km. shama,female
8182,noor ahmed,male
3858,"amjat ,najru",male
12727,jyoti manchand,female
6554,sant mahendra singh,male
1138,jumrati,male
13715,sarita choudhary,female
5221,vichitra sharma,male
10151,neetu sharma,female
63,parsant,male
5293,shivlal,male
12898,mamuna ,female
2353,sanjay charee,male
1914,shivam,male
6864,akil,male
4039,nizam,male
11710,sngeeta,female
8435,basant,male
4999,michael,male
8624,anita suthar,female
2151,niranjan choudhary,male
13591,safila,female
3546,sumit raghav,male
11196,gawri devi,female
3237,rahisuddin,male
11081,smt nilam,female
4453,rakesh kumar  bhardwas,male
12646,balvinder kaur,female
2473,dhirender,male
2165,kishan ,male
7503,jitender gupta,male
7291,shokat,male
8172,suresh kumar,male
12278,priyak davi,female
3713,pankaj malik,male
4923,vishal tomar,male
3043,sahbaj ,male
1433,adersen,male
985,sh amrik singh,male
13169,sen kanwar gochar,female
6092,sankarlal,male
8618,rahnuma,female
5422,mohd. sikender ,male
10631,parsi devi,female
7706,danveer singh,male
8535,pooja ,female
13347,km. dayji,female
5850,manoj,male
11128,kumari monki,female
1887,arjun yadav,male
14520,meena jat,female
580,shayam,male
9692,munny,female
168,pravendra,male
3017,anshul,male
8197,meena,male
8363,sahid hussain,male
9433,deepti bhargav,female
13737,pushpa hatwal,female
14892,smt.nisha,female
6839,dd suraj kumar,male
13475,imaman khatoon,female
11389,palak ,female
7592,partap singh,male
7813,shri dhan singh,male
400,lehru lal,male
2149,banshi,male
2407,bram parkash,male
7811,vikash seni,male
9775,karshma ,female
6807,ashu,male
190,upendra kumar,male
12546,km neha,female
6920,balwant singh,male
4671,syham singh,male
9981,pappy,female
7337,lakshaya sharma,male
5589,sumit parkash,male
3166,charan dass,male
10261,dimpal ,female
11897,श्रीमती मुन्‍ना कं,female
7568,yogesh kumar dhunna,male
8245,jai dev ,male
2330,sanjay gupta,male
2130,raja kumar thakur,male
3643,md hasan ,male
14295,santna,female
9382,nazma,female
14747,sweta anand,female
425,rajvir,male
3042,masoom,male
14884,shrishti,female
7280,rubal khurana,male
4235,latur lal,male
5862,sikander pal,male
5089,jeevan,male
5171,harpreet singh bedi ,male
15077,aphsana,female
10452,smt. sima devi,female
13920,chander kala,female
1739,virendra  singh,male
12446,kumari nenu,female
555,vishal sarin,male
10597,suhani devi,female
10863,maina ,female
167,mohd. ladla . kaif,male
194,dhamender,male
976,md. waseem,male
3825,vishnu bahadur thapa,male
2711,sanjeev ,male
11521,menakshi ,female
6128,gaffur khan,male
4634,gen bahadur,male
12623,arti kumari ,female
13800,pampa mukharji,female
5169,rupendra ubas,male
1898,kumresh,male
5659,mukesh kuril,male
6111,mo- anjum,male
6332,shivraj,male
4222,upender yadav,male
6034,amber darjee,male
9950,payal kumari,female
9312,vishnu devi,female
1647,shree nanak,male
11437,ishrana,female
10306,smt. guddi,female
919,jai ram kir,male
3447,gopal lal meena,male
668,parvesh,male
2627,ameen,male
9477,veena ,female
15186,ku. seetal rawat,female
2881,subjeet vishavkarma,male
5241,ravinder ,male
11022,munni devi,female
3827,jakir hussain,male
6740,dharmvir,male
10779,smt. muslima bibi,female
3865,son pal kumar,male
14826,poonam ,female
5962,shailesh,male
12104,sunarki devi,female
11287,bimla,female
12429,saroja ,female
13039,poonam gupta,female
9479,pritibha adrash,female
4858,anuj jain,male
11998,nishu,female
1773,anand kumar mishra,male
7227,pukharam,male
9466,suman gungi,female
4895,naresh kumar,male
3284,om prakash maheshwari,male
10382,smt punam,female
6257,puran mal,male
11297,anupuma,female
5311,aman deep,male
911,amot,male
9895,subhangi sadashiv jadhav,female
9031,najma khatun,female
10734,kanti ,female
12455,smt lata davi,female
794,awedhesh kumar,male
7429,nasir  bhai,male
15092,prema devi,female
3127,motilaal,male
2899,man mohan aggarwal,male
14824,jayada,female
4691,chandra pal,male
9585,bagga kunwar,female
9345,shankri meena,female
9615,farida,female
3853,mohd. ali,male
8927,sally,female
3169,anwari,male
6025,om parkash yadav,male
9925,sita ,female
8455,bhavisaya rai choudhry,male
8284,prshant,male
493,barham parkash,male
13536,tanuja devi,female
1746,mohd. arjoo,male
661,guddu,male
6216,ritesh,male
5358,bhanu yadav,male
12303,sano devi,female
9220,diksha vashist,female
873,mohd. hasan ali,male
3006,ramdas mahadw kamble,male
7441,ct. shyam lal,male
14478,neetu kapoor,female
1082,vishal atre,male
8744,smt taravaati,female
5871,rajeev kumal,male
10952,isha,female
6391,dauad beg,male
6722,satyawan,male
5011,vishal chaudhary,male
14957,salomi hemroda,female
4069,ajeet singj,male
7321,puneet ,male
4480,pervinder,male
10300,mabiya,female
9257,gulpacha,female
9957,reshma ahari,female
14179,km. ankita,female
6723,bajinder,male
14365,km mohini,female
8454,gulshan singh,male
7945,aditya vikram,male
9735,kushumlata,female
15134,roshni kumari,female
12140,sahiba ,female
498,vipin ,male
6281,laliya,male
9994,gyatri,female
2273,sh.shiv charan singh,male
2522,nagender singh,male
12112,mubshshira,female
11056,sheensar pal,female
6350,bindu,male
9543,puja kanvar,female
7240,muskan varma,male
14204,ram bhateri devi,female
4880,rithik ravinderan ,male
685,jitender rajak,male
5836,sushil gupta,male
1568,mh. yameen,male
14178,pinki sharma,female
11798,ramwati,female
1734,dashrath,male
9545,vijaynti,female
10607,janam,female
8360,subato mukherjee,male
12769,inda bai,female
6213,akashya tyagi,male
13394,smt deepanshi,female
14833,rubina ,female
12760,seema puri,female
9302,sujli,female
6683,arshad,male
3186,rakshit garg,male
14444,anita,female
6776,vijay,male
9001,kamlesh kanwar,female
4194,dinesh jain,male
8439,ashu kant ,male
11665,renu devi,female
8322,chinku ,male
2824,aakash,male
9823,puneeta,female
5673,vipul sharma,male
10424,sashikala,female
880,aman junuja,male
15001,shrimati maya devi,female
14605,vimala devi,female
9633,annu kumari,female
11254,arthi,female
1683,bhrkat,male
4911,diwan chand,male
7641,vishal ahemad,male
7818,kuldeep kasyp,male
12077,rena bai,female
4131,kamal kishor radhey,male
13203,smt satyavati,female
2462,sadhu yadav,male
4811,sarvesh kumar,male
10715,farhib,female
12807,sudershan bala,female
1786,gourav kumar,male
12012,ku ponam,female
5977,eldro korea  kose,male
7107,radha raman,male
13128,bhateri ,female
10022,manisha ,female
12505,swati yadav,female
576,aejaz khan,male
4861,mayur bhatia,male
9916,sartaj,female
5837,vijay gourav ,male
1806,manish lamba,male
3331,sukjveer singh,male
2781,vinod,male
5265,raghuvir,male
14762,dhana devi,female
9910,reemi sarkar,female
8873,kum  mamta,female
9250,jakra khatoon,female
9927,gambhir singh,female
6319,sabi,male
9455,sweta tamka,female
9293,geeta oram,female
273,nitin ,male
4033,neeraj bhatt,male
2146,rohan haldar,male
7506,surender nath saini,male
10868,prem lata,female
4118,shubhm,male
12246,kumari neha,female
7343,vikram ,male
2452,bharat dendor,male
14724,श्रीमती जशोदा,female
15035,rishma ali,female
1581,naresh yadav,male
1669,bharat,male
8071,manjit,male
12723,farida bano,female
2658,pabu dan,male
10746,saalu,female
1122,sinil kumar,male
13765,ku. kanchan chouan,female
316,babu lal sharma,male
13524,sita devi  ,female
2853,dharmbir singh,male
2153,jot singh,male
10485,gulsan khatoon,female
11736,asha devi,female
1131,mohan singh tyagi,male
2357,veerander,male
9095,sushmita rao,female
967,bhuri,male
6304,prabhakar pandey,male
9487,monika,female
2691,love manjhi,male
2436,sanjay ,male
2789,lakshay,male
12248,nasima ,female
3982,kamre alam  karim,male
14469,suraj kumari,female
2438,chandu,male
104,vaibhav,male
3136,santosh kumar panday,male
5633,vicky k.c,male
6587,mitthu,male
13116,reshma,female
13264,anita devi,female
2520,bal bahadur,male
782,mohit ,male
13819,veena sharma,female
9486,muskan kaur,female
5907,lalit,male
6890,sunil kumar verma,male
3249,shri ram parkash,male
10750,smt. madhu,female
8492,monty ,male
11156,smt. savita devi,female
2790,meharban,male
7614,rupesh,male
7171,joholal soren,male
12590,sirish,female
7798,chain singh ,male
3454,hemanshu,male
5636,naveen rastogy,male
9550,jugan  kishor,female
6676,asif,male
10638,geeta rani barman,female
10696,raj shabnam,female
9903,smt rupali,female
10670,preeti joshi,female
8992,ramu kunwar,female
1367,nandita,male
7015,laltha prashad,male
3719,aas mohammad,male
9375,asha  devi,female
2354,ajay kumar ,male
10998,minakshi ,female
2359,mohd. khalid ,male
15112,deepa kumari,female
1194,md. nadaim,male
5715,mukhtyar hussain,male
7855,bijander,male
6418,manoj kumar,male
14035,mamata,female
14587,smt bhagwani,female
5724,chander shekhar,male
1686,naresh kumar sharma,male
11943,nisha aggarwal,female
7113,forshan anl,male
8325,kalip,male
11969,gulab,female
6794,jaynarayan  meena,male
10702,santi devi,female
3882,ritik,male
14489,nashima,female
10848,sushree sagar,female
9915,parvati,female
15244,jiya,female
7364,gaurav kumar ,male
5572,mohd. salim,male
6729,amil,male
1780,atitaj singh,male
10941,geetanjali,female
11479,phooli devi,female
14313,arti kumari sahu,female
13821,bharti singh ,female
10791,rabiya,female
14410,minu,female
11617,sandhya ,female
9426,mallika,female
5242,sumit singh,male
1092,bhupendra singh rawat,male
14504,rachana mishra,female
10822,rima,female
10570,manisha damor,female
11819,smt siksha devi,female
4355,manit kumar,male
3832,gomti,male
12815,jarina ,female
537,aansu,male
9175,ritu,female
1932,mohd salmaan,male
7924,amar nath,male
3073,sanjeev panday,male
13329,maya lakhera,female
10179,seva pati,female
22,navendra,male
11747,sudhama,female
5505,sube singh,male
2730,laxman shah,male
13417,samreen khatun,female
686,deepak ,male
4275,suresh chandra,male
13044,kumari usha,female
23,goverdhan,male
8203,arun,male
2579,sanjiv kumar,male
12074,bindiya kumari,female
11436,yasmin banu,female
12110,vashanavi ,female
6679,virender sehrawat,male
12107,parbha devi,female
6401,babu o m,male
5268,md. alikhan,male
13391,raj & pani devi,female
15269,phalguni,female
40,gauri,male
10621,uma davi,female
13456,kumari meera,female
1147,harish batra,male
14056,preety hans,female
6643,rajesh patra,male
6432,naved ali,male
7374,gorv sharma,male
6444,amit rana,male
5139,ravi pruthi,male
8664,indu devi,female
10314,kalpana patidar,female
12407,sunder,female
5191,jaiveer ,male
12757,muskan ,female
7392,manish chouhan,male
5104,devdhari,male
3427,yashbir,male
12386,soni yadav,female
1247,mr. ashok kumar,male
4056,anjani kumar,male
15149,priti gujrati,female
12540,ms. narbada,female
11410,kumari sushila,female
2557,chandi prsad,male
12528,jyoti fransis,female
14680,chand mundari,female
14176,miss koshalya,female
1961,braham singh,male
5574,tek bahadur,male
12735,harneet kaur,female
3431,ashraf,male
8807,laxmi ,female
2952,maman singh,male
396,प्रमोद क,male
12684,pushpa jha,female
15025,phulbi,female
9358,divya rani,female
2115,akshay ,male
2035,vipin kashyap,male
8327,हिलेरी प,male
6247,rakesh ,male
11873,jincy varghese,female
6795,patric meter,male
6108,anuj sharma,male
4518,rudmal,male
14167,pooja kashyap,female
13236,kumari roshan,female
13985,rajesh bai,female
9714,rena,female
13006,girja,female
191,avdhesh,male
1551,mithlesh sharma,male
2116,ashu ,male
7390,rajend,male
7815,trilochan kakkar,male
12028,rajna,female
3123,sanjay manchanda,male
3350,v.r.thomas,male
430,mohd. saheed,male
6538,satpal kaura,male
288,rajam singh,male
10728,smt. anita devi,female
14685,smt rakhila,female
10407,fakiha,female
7775,hansraj meena ,male
10881,munna,female
2183,khamchand,male
12556,vidyawati,female
14073,anjuman bano,female
5743,md imran,male
12048,parvati bai,female
14095,baby,female
1937,udham,male
9314,radikha,female
861,mohd. altaf,male
5118,karan kumar khatik,male
4350,pradeep shah,male
11008,antim,female
10673,kaushar,female
3348,hazari,male
2265,harendra,male
8636,mahi,female
3984,narender sharma ,male
11584,afroz,female
14656,naina kaushik,female
13118,radha,female
9551,pallavi,female
7636,rishi pal,male
9029,renu ,female
9409,jayanti,female
14392,madhuri barman,female
5900,mohd.  rajiq,male
14275,avantika,female
10122,suman tiwari,female
9734,mandira devi,female
11689,smt preeti,female
3095,ramanand jha,male
3912,baburam singh,male
11899,smt dipika,female
7858,kush gupta,male
609,sanjeevan,male
2141,rajender prasad,male
2653,kishnaram,male
8140,sonu goyal,male
14694,rajiya,female
4160,aasif,male
11165,sanjna ,female
2374,mukat singh,male
7859,jalil,male
7459,sanjeev sharma,male
14048,gudia ,female
4035,abdul wahid khan ,male
10504,sattu f  devi,female
9395,poonam das,female
5124,annu sharma,male
14772,rita gupta,female
13861,sapna ,female
3079,durgpal,male
423,aswin,male
4420,rajna,male
1913,rahul sharma,male
1361,bittan mandal,male
13306,similata,female
841,bhagwan singh meena,male
8466,bhupender ,male
14886,priyanka lohiya,female
7618,ajay kumarn mishra,male
5263,mohd. nafees,male
13943,rubeena,female
12936,junaid,female
4445,anurag,male
4916,hitender kumar,male
13206,sushree veena,female
6857,rampal jain,male
7052,श्री प्रदीप कुमार,male
9119,kumkum,female
5087,avinash ,male
10338,renu parcha,female
14216,manwi,female
9884,neraj ,female
332,ruchendra rana,male
8796,smt. pushplata,female
14564,satish chander,female
8428,brijlal giri,male
999,tushar bansal,male
10785,rinky devi,female
7613,arvind singh,male
1165,pallu,male
11238,kiran ,female
3554,"nand kishor, puppu",male
6134,chandra dhar pande,male
5745,sanat patra,male
4541,sunder lal mongia,male
2275,poonam chand,male
7162,ranjan singh,male
14832,pinki bai,female
1007,saddam khan,male
6164,mikel,male
15105,nitu sharma,female
13437,pinki kumari,female
6940,gauri shanka,male
7669,arvind batra ,male
1536,mhosin,male
9290,sonali pandey,female
13961,km. swati,female
14641,shaili,female
12379,km anjali,female
1879,ravinder singh rana,male
1466,hemraj,male
7409,sanjay gomes,male
4338,himansu garg,male
10827,rama ,female
6055,narbahadur,male
8609,km soniya,female
4912,kumari preeti,male
6558,ram subhak,male
37,ramniwas,male
14556,khushnasiba,female
8042,sushmendra kumar ,male
7352,ajay haldar,male
8100,nishant tyagi,male
1280,kripal singh,male
1789,devender yadav ,male
14296,bhawna nath,female
10383,nasrin,female
10167,diksha ,female
8402,navneet,male
13259,doli ,female
1584,seeta devi,male
1340,yogender kumar gupta,male
1171,moti lal,male
11856,chandrakala,female
4841,dhiru ,male
14312,smt kishna bai,female
4001,nanhu khan,male
7045,moh. harun,male
12124,kumari jeda,female
9577,smt manjula v putri mital,female
13378,pooja saini,female
13139,nisha singh,female
1298,abhishek sharma,male
3965,shubham mangvar,male
11527,sahin,female
4598,chand,male
7063,ct sandeep,male
10030,ashma,female
10006,hina kanwar,female
4783,arif niyaz,male
6792,bablu naraniya,male
12411,hema mali,female
10172,smt santa,female
11775,buchhi,female
1677,shri kistur chand jat,male
997,shashank  sanghi,male
12490,smt. supyar,female
11429,mandvi sharma ,female
10770,neetu goyal,female
3014,parnav kumar,male
3759,ajit,male
3754,mukul sharma,male
6326,susan subva,male
11271,sugandb,female
2905,majunew,male
12208,rekha ,female
10647,सुश्री मांगी बाई,female
4257,raju khan,male
538,vinay ,male
13554,khima sunar,female
673,jag mohan,male
4573,virendra kumar,male
6417,jittender,male
10336,bohati devi,female
14665,priyanka soni,female
8680,pooja mehut,female
6656,abhishak,male
6871,yogender jha,male
7958,mohd miraj ansari,male
10360,sabita devi,female
13125,phoolla,female
2426,puran chand joshi,male
13516,smt.sunita,female
6946,hazrat ali,male
10041,manju,female
1403,arnabjit mukherji,male
3688,sanny,male
2516,deepender kumar,male
7822,suman,male
13932,shalu ,female
496,saurabh ,male
9098,रीना कुमारी,female
1541,vaid prakash,male
1807,dinesh yadav,male
13472,radha ,female
14966,jaya parbha ,female
7175,parhalad yadav,male
11526,kumari  kiran,female
4734,prashant kumar,male
13539,bhabhiya ,female
9401,kavita ,female
8142,ranveer,male
2283,shankar malhotra,male
10723,richa tyagi,female
465,bahadur singh,male
11171,jainab ,female
12089,shahrish,female
9356,jenab,female
4400,ghansyam,male
1678,jay bhagwan,male
8984,nisha rani,female
1751,permeshwar parsad,male
11236,manjeet,female
14906,suman sharma,female
9953,chanpa megwal,female
2946,rahul verma,male
1392,mohammad ali,male
1820,ram naresh yadav,male
9218,sheelu,female
6733,rakesh sharma,male
13318,smt kali,female
3344,niyaaz khan,male
2087,dharvesh kumar,male
9933,gendi,female
8852,rahil perveen,female
3528,aakash,male
4099,chander aggarwal,male
2333,jyoti prakash,male
6280,indraj singh,male
7250,omesh,male
1064,ram dutt,male
14003,kumari prem,female
12092,jayda khatoon,female
5028,devesh kadyan,male
3762,ritunjay tiwari,male
6122,rahul parikh,male
4936,sonia,male
11935,sahiba,female
10543,ashrabi khatoon,female
363,anjum chowdhary,male
13251,vandana,female
9171,nena,female
3120,vipin gujral,male
7778,gokul,male
6022,sh.  santosh choudhary,male
4044,ramdhan,male
174,yogita,male
9764,jeevanlata tuddu,female
1805,anuj tiwari,male
10397,bholi,female
12395,ranita,female
11545,madhu sharma,female
8003,robin,male
6641,ashok kumar  ,male
14345,najira,female
14547,manisha ,female
1428,bajrang lal  kishor,male
5041,jacky,male
7785,sushant gupta,male
14918,smt natu kanwar,female
7629,bhudhashen,male
3144,arun kafley,male
8623,deepika chauhan,female
9397,jayuti soni,female
13802,ekata meena ,female
760,devanand,male
3812,lal babu prasad,male
14640,hem lata,female
10685,ruby raghav,female
4556,brijesh,male
2247,kala,male
12237,varsha sharma,female
12718,anjali sharma,female
3779,ramesh kuamar,male
14001,goldy,female
2811,rajesh kumar pal,male
3076,janesh,male
9422,k munni rab,female
13026,rajshree,female
5776,daniel gomes,male
6684,wasim ,male
5746,श्याम मो,male
9604,pariti  kumari,female
10354,kumari guddi,female
5598,madan kumar chaudhari,male
11959,mumtaz,female
7559,senser,male
3539,sugai vishwas,male
8497,manish maheshwari,male
4988,phooleshwar yadav  lal,male
525,arun ,male
1123,pabitra bhoi,male
13175,pryanika,female
1869,jagat,male
4447,deepak aggarwal,male
14809,priti kaur,female
14472,shahiba,female
8380,sat pal,male
12311,shamina,female
4834,shankarlal,male
7721,sivam,male
13127,mukesh devi,female
1505,hariesh,male
3571,nadir tanzeem,male
5113,ram narayan meena,male
7832,katwa,male
8393,lilu,male
11917,sandha devi,female
2006,monu gambhir,male
10268,smt jyoti devi,female
14506,san jan devi,female
12768,nandini ,female
8037,abhay ,male
14280,aatikun,female
13137,devendri,female
3941,ramlakhan,male
10389,sakuntala,female
10962,aashma,female
4680,prabhu dayal,male
72,pappu mandal,male
12729,मुन्‍ना बाई,female
1439,chitu ,male
13818,divya bharti,female
3814,pujja,male
13544,nahid ,female
4373,km.deyji,male
10896,gulista aapu,female
10648,manju,female
10639,jyoti gosyami,female
3549,inder kumar,male
3286,arab singh,male
1510,anand,male
11698,mitlesh,female
11591,lilaki,female
10735,sultana begum,female
1800,yasmin,male
12318,shama basi,female
4721,ram lagan singh,male
13871,amirul nisha,female
13398,vandna ,female
13349,sarah thomson,female
9010,sweta ,female
2613,pravesh,male
6835,amrudin,male
9448,jebi khan,female
1539,mehtab,male
15020,श्रीमती दाखा,female
12949,aarti kumari,female
11554,mukti,female
5554,insaf ali,male
4491,imsaan,male
12103,gajwanti ,female
11728,sashi,female
3671,udit,male
9556,pabu devi,female
11086,geetu,female
6823,irfan ,male
5803,mohm. gulbhar,male
14409,sareen bano,female
13375,reekha,female
8932,gyan devi ,female
1080,ajaj ahmad,male
6131,md. imran,male
666,navneet giri,male
3781,keval thakur,male
5692,rajender kumar dheer,male
10375,kherul nisha,female
9705,ranjana devi,female
14710,nurbi,female
10992,khooshboo,female
10101,sabhya shrama,female
7184,aryan,male
6251,ram baran,male
10307,priyanshu,female
11461,norti,female
12022,shabbo devi,female
4478,mohd. marukh,male
13832,mansha,female
304,shahnwaj,male
10171,sila,female
8509,bhulan kumar,male
8055,aakash sharma,male
9672,smt maya,female
433,rohit rawat,male
13099,miss ranjana,female
12224,neeta,female
14530,mariam,female
7414,vishal kumar,male
1273,gulshan grover,male
3948,kapil kumar,male
4795,sanjay bhati,male
1813,sidhrath kumar,male
6380,darshan lal sonkar,male
5086,hisham singh,male
12002,soniya ,female
13748,shilly parveen,female
13630,meela devi,female
9791,sanha,female
2904,rai singh,male
12086,pinki ,female
14332,pista,female
1198,noornabi,male
8716,nuraish,female
1019,sarik,male
1810,sintu vishwash,male
10804,smt. preeti,female
7715,samsudin,male
6532,dinesh  mishra,male
5998,md aagad,male
11930,k. jasodha,female
9011,mina meena,female
3005,akash sharma,male
6041,sandeep ,male
14549,smt chandni devi,female
3378,sevak  lal,male
5192,anuj gupta,male
11135,seema chauhan,female
6486,devender kumar sharma,male
3057,hazi abdul samad,male
438,ganesh pandey,male
3415,gurlal,male
1728,jisaan,male
5652,satya,male
4722,eliyas,male
12652,devi lal,female
12897,indra megwal,female
921,anikesh,male
2177,poma ram,male
8230,khalid ali,male
5339,gopal dass,male
5486,aashik ajiz,male
8248,chunni kumar,male
5915,kareshan,male
4976,sanjay patwa,male
3782,vikash malik,male
10114,smt indra devi,female
1005,jai dahiya,male
6856,santosh kumar,male
9502,smt lalidavi,female
14340,kumari rachana,female
4430,bake lal,male
9023,smt kajal ,female
6415,prakesh,male
9700,bhagwati,female
4226,sahbuddin,male
13806,smt komal,female
10236,sabrin,female
7939,givinda,male
7115,anikt kumar singh,male
13628,munni kumari,female
4083,jitendra,male
5637,kamaljeet,male
6541,guluram,male
5588,ranjeet ,male
12119,tashkkur sultana,female
5470,sumesh,male
12692,yasmin  fatima,female
14716,hazu roat,female
744,bholu ,male
5258,jayesh singatvadiya,male
6386,surajmal ,male
12205,bhumika,female
4026,mohd imran ,male
12454,kesha,female
1895,surender ,male
3161,neeraj ,male
4793,majid ansari,male
3717,bhushan sahay,male
1432,dhurender singh,male
2860,vanshu,male
5697,kailash chand ,male
4127,omkar,male
6778,ramkhilawan,male
9126,beti bai,female
13822,tasveeran,female
13386,ishawar singh,female
1450,ankur kumar,male
1910,amkit,male
6437,madan gopal,male
14297,rabina khatun,female
5145,manjeet singh,male
13224,laxmi koli,female
6061,tavraj,male
2189,stifen john,male
6648,anil  kumar,male
9698,rajwanti kaur,female
7097,bhola dutt maithani,male
1511,rakhi,male
4381,sandeep thakur,male
2746,sadod ali,male
890,shoyab ,male
14623,km komal,female
12828,aarti,female
11770,rekha bai,female
3986,aditya kasana,male
7327,himanshu dedha,male
4414,vaishali  ,male
11913,rohini,female
6374,hari mohan gurjar,male
339,shokar khan,male
3487,dhruv kumar,male
14104,khush naseeb,female
5012,faim,male
15203,gulran,female
3533,rohaan sadat,male
272,gulshan kumar,male
11571,seema setiya,female
9854,kumari seema,female
2740,atu verma,male
2303,iqubal,male
13479,miss anju maida,female
11601,mehrunisha,female
11223,seweta,female
12854,sweety,female
1132,ramlal nath,male
7086,prateek kumar tiwari,male
13627,bakila w/ o ankil,female
12812,karmi indwar,female
12310,nirma,female
9802,sukh  oya,female
12013,karamjeet kaur,female
1648,shamshad,male
15193,anita ,female
9319,smt amita yaday,female
10895,shahnawaj,female
11839,smt momina,female
5971,monu bansal,male
1294,bachheshwar paswan,male
14109,nikki sharma,female
6971,harman singh,male
12308,sahna,female
352,jai parkash,male
8275,ajman,male
6773,p s eswaran,male
11717,smt basanti,female
5186,ramesh ,male
502,sadab,male
8095,rohan singh,male
5920,pramatma pandey,male
3309,kartar singh,male
12480,veerpal kour,female
1851,pushpendr,male
8654,pratibha pareek,female
13789,amarin,female
2346,gufraan khan,male
2713,rajender kand pal,male
3084,vipta,male
2661,karan singh ,male
8553,anjana kumari,female
14034,deepika jain,female
932,neeraj singh,male
8838,shrimati,female
10646,smt. anita,female
12668,varsha dhania,female
3414,ankur gupta,male
5622,anil kumar tete,male
5612,sonu kumar,male
2400,manku ram jat,male
8422,laxman pandit,male
3233,mohar snigh,male
2981,kamleshwar kumar,male
3306,mohd. asif,male
6983,ansal topo,male
8941,rajwati,female
10555,murshida,female
15061,luxmi,female
4829,malkeet singh,male
6555,imtiaz ali,male
2589,vishal ,male
8581,namarta,female
9926,amita,female
4441,rohit gill,male
5791,girish chandra,male
12388,kumari  sunita,female
9071,ravena,female
13773,alka sharma,female
12930,sahanaj khatun,female
13698,nikita senger,female
12043,nirmla devi,female
5887,ganga sahey,male
5121,kapil ,male
9064,tavvasum,female
14853,naima,female
9398,lalutha,female
12126,renu ,female
7699,neeshu,male
15138,savita,female
9961,yasmin,female
10111,pinky devi,female
7033,chanden,male
8264,narender kumar gupta,male
11983,beauty,female
4758,kashish sharma,male
570,pappu  mohan kumar,male
126,inder singh sawant,male
14540,kalma khatoon,female
1550,chander prakash,male
3291,anshul krishana,male
169,vinod kumar,male
2100,bhani ram,male
5029,angad kumar,male
5655,श्री ऐमराज,male
10270,mona,female
4140,lakky,male
182,saurabh beeryani,male
5904,harish,male
7714,sahib saran,male
12226,pooja handa,female
10293,uma bharti,female
6026,ram dayal,male
8068,shayam singh ,male
3283,mohd. farvej sha,male
11962,pooja gujar,female
10874,pooja devi,female
13728,sakina,female
11905,miss ramila,female
8379,prashant jain,male
8677,beena kumari,female
7427,mahipal,male
7177,kailash,male
4667,aditiya ,male
7667,hiten dev,male
6787,ramkumari devi,male
7289,abhi,male
12176,bhawana devi,female
5570,shanwaj,male
482,dhara,male
3071,dharmvir ,male
6302,islamuddin,male
9928,sandiya singvi,female
11356,halima,female
15234,teena kanwar,female
13406,sanju yadav,female
6447,sanavvar,male
4086,mantu kumar,male
6252,sandeep negi,male
1782,ramotar ,male
9628,krishna devi,female
13669,smt mamta,female
5146,mithelash,male
9041,smt nawali,female
3009,subhod,male
2113,dinesh kumar dogra,male
12600,kripya minch,female
13510,shefali,female
4366,satish kumar,male
9193,pooja arora,female
8532,rachna ,female
13366,rozi,female
4223,dabbu,male
137,arajun singh,male
6091,pulkit,male
13565,umedi devi,female
